RECID,FIRSTNAME,MIDDLENAME,LASTNAME,NAMESUFFIX,SASID,RECORDFOUND,SEARCHDATE,COLLEGECODE,COLLEGENAME,COLLEGESTATE,COLLEGETYPE,PUBLICPRIVATE,ENROLLBEGIN,ENROLLEND,ENROLLSTATUS,GRADUATED,GRADUATIONDATE,DEGREETITLE,MAJOR,COLLEGESEQ,CREDIT,ENROLLFIRST,ENROLLLAST,HSGRADDATE,HSEXITTYPE,HSCODE,HSNAME,DISTCODE,DISTNAME,SEX,RACE,RACE7,LUNCH,IEP,LEP,
900000,THEODORE,,CHANDLER,,1326150537,Y,NULL,003414-00,SALVE REGINA UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,W,N,NULL,,,2,0.5,00:00.0,00:00.0,00:00.0,17,28010,Cranston High School East,28,Cranston,M,I,AS7,N,Y,N,
900001,JAMES,,CUMMINGS,,1813055664,Y,NULL,009823-00,JOHNSON & WALES UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,Q,N,NULL,,,2,0.25,00:00.0,00:00.0,00:00.0,15,12005,Classical High School,12,Providence,F,I,MU7,Y,Y,N,
900002,JAMES,,CUMMINGS,,1813055664,Y,NULL,003404-00,BROWN UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,W,N,NULL,,,3,0.25,00:00.0,00:00.0,00:00.0,15,12005,Classical High School,12,Providence,F,I,MU7,Y,Y,N,
900003,JENNIFER,JOSEPH,SANCHEZ,,1872502878,Y,NULL,003407-00,RHODE ISLAND COLLEGE,RI,4-year,Public,00:00.0,00:00.0,W,N,NULL,,,2,1,00:00.0,00:00.0,00:00.0,15,33015,Coventry High School,33,Coventry,M,H,BL7,Y,Y,Y,
900004,JENNIFER,JOSEPH,SANCHEZ,,1872502878,Y,NULL,003414-00,SALVE REGINA UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,A,Y,00:00.0,BA,BIOLOGY,3,0.25,00:00.0,00:00.0,00:00.0,15,33015,Coventry High School,33,Coventry,M,H,BL7,Y,Y,Y,
900005,JENNIFER,JOSEPH,SANCHEZ,,1872502878,Y,NULL,007468-00,COMMUNITY COLLEGE OF RHODE ISLAND,RI,2-year,Public,00:00.0,00:00.0,H,N,NULL,,,4,0.5,00:00.0,00:00.0,00:00.0,15,33015,Coventry High School,33,Coventry,M,H,BL7,Y,Y,Y,
900006,JENNIFER,JOSEPH,SANCHEZ,,1872502878,Y,NULL,007468-00,COMMUNITY COLLEGE OF RHODE ISLAND,RI,2-year,Public,00:00.0,00:00.0,A,N,NULL,,,5,0.25,00:00.0,00:00.0,00:00.0,15,33015,Coventry High School,33,Coventry,M,H,BL7,Y,Y,Y,
900007,JILL,,GOMEZ,,1566215544,Y,NULL,001276-00,WEST HILLS COMMUNITY COLLEGE,CA,2-year,Public,00:00.0,00:00.0,H,Y,00:00.0,BS,BUSINESS,2,0.25,00:00.0,00:00.0,00:00.0,15,28010,Cranston High School East,28,Cranston,F,W,MU7,Y,N,Y,
900008,JESSICA,SYLVIA,COLLINS,,1755978438,Y,NULL,041713-00,"WEST HILLS COLLEGE, LEMOORE",CA,2-year,Public,00:00.0,00:00.0,W,N,NULL,,,2,0.25,00:00.0,00:00.0,00:00.0,18,28010,Cranston High School East,28,Cranston,M,I,AS7,N,N,N,
900009,MARK,,JONES,,1831477725,Y,NULL,003508-00,COMMUNITY COLLEGE OF CONNECTICUT,RI,2-year,Public,00:00.0,00:00.0,A,N,NULL,,,2,1,00:00.0,00:00.0,00:00.0,16,33015,Coventry High School,33,Coventry,M,H,BL7,Y,N,Y,
900010,YVONNE,,CLARK,,1808088111,Y,NULL,001276-00,WEST HILLS COMMUNITY COLLEGE,CA,2-year,Public,00:00.0,00:00.0,G,Y,00:00.0,BA,BIOLOGY,2,0.25,00:00.0,00:00.0,00:00.0,15,58030,South Kingstown High School,58,South Kingstown,M,E,BL7,Y,Y,Y,
900011,YVONNE,,CLARK,,1808088111,Y,NULL,041713-00,"WEST HILLS COLLEGE, LEMOORE",CA,2-year,Public,00:00.0,00:00.0,Q,Y,00:00.0,BA,BUSINESS,3,0,00:00.0,00:00.0,00:00.0,15,58030,South Kingstown High School,58,South Kingstown,M,E,BL7,Y,Y,Y,
900012,YVONNE,,CLARK,,1808088111,Y,NULL,003414-00,SALVE REGINA UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,H,Y,00:00.0,BA,BUSINESS,4,0.5,00:00.0,00:00.0,00:00.0,15,58030,South Kingstown High School,58,South Kingstown,M,E,BL7,Y,Y,Y,
900013,YVONNE,,CLARK,,1808088111,Y,NULL,003508-00,COMMUNITY COLLEGE OF CONNECTICUT,RI,2-year,Public,00:00.0,00:00.0,Q,Y,00:00.0,AS,BIOLOGY,5,0,00:00.0,00:00.0,00:00.0,15,58030,South Kingstown High School,58,South Kingstown,M,E,BL7,Y,Y,Y,
900014,JESSICA,,MIDDLETON,,1892821108,Y,NULL,007468-00,COMMUNITY COLLEGE OF RHODE ISLAND,RI,2-year,Public,00:00.0,00:00.0,A,N,NULL,,,2,0.25,00:00.0,00:00.0,00:00.0,18,33015,Coventry High School,33,Coventry,M,A,BL7,Y,N,Y,
900015,MONICA,,HERNANDEZ,,1228289392,Y,NULL,009823-00,JOHNSON & WALES UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,W,Y,00:00.0,BA,BIOLOGY,2,0.25,00:00.0,00:00.0,00:00.0,16,41020,La Salle Academy,41,Private,M,W,BL7,N,N,Y,
900016,MICHELLE,TIFFANY,TOWNSEND,,1675030496,Y,NULL,003404-00,BROWN UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,W,N,NULL,,,2,0.25,00:00.0,00:00.0,00:00.0,17,96107,Mt. Hope High School,96,Bristol Warren,M,A,AS7,N,Y,N,
900017,ROBERT,,MARTINEZ,,1798330902,Y,NULL,003404-00,BROWN UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,F,N,NULL,,,2,1,00:00.0,00:00.0,00:00.0,17,41020,La Salle Academy,41,Private,M,W,BL7,Y,N,N,
900018,DON,MARK,RIVERA,,1852184378,Y,NULL,003407-00,RHODE ISLAND COLLEGE,RI,4-year,Public,00:00.0,00:00.0,W,Y,00:00.0,BA,BUSINESS,2,0.25,00:00.0,00:00.0,00:00.0,18,96107,Mt. Hope High School,96,Bristol Warren,M,B,AS7,Y,Y,Y,
900019,DON,MARK,RIVERA,,1852184378,Y,NULL,003401-00,UNIVERSITY OF RHODE ISLAND,RI,4-year,Public,00:00.0,00:00.0,Q,N,NULL,,,3,1,00:00.0,00:00.0,00:00.0,18,96107,Mt. Hope High School,96,Bristol Warren,M,B,AS7,Y,Y,Y,
900020,DON,MARK,RIVERA,,1852184378,Y,NULL,041713-00,"WEST HILLS COLLEGE, LEMOORE",CA,2-year,Public,00:00.0,00:00.0,A,N,NULL,,,4,0.5,00:00.0,00:00.0,00:00.0,18,96107,Mt. Hope High School,96,Bristol Warren,M,B,AS7,Y,Y,Y,
900021,JAMES,RONALD,STEWART,,1229842025,Y,NULL,001276-00,WEST HILLS COMMUNITY COLLEGE,CA,2-year,Public,00:00.0,00:00.0,H,N,NULL,,,2,0.5,00:00.0,00:00.0,00:00.0,18,12005,Classical High School,12,Providence,M,A,WH7,Y,N,N,
900022,JAMES,RONALD,STEWART,,1229842025,Y,NULL,003407-00,RHODE ISLAND COLLEGE,RI,4-year,Public,00:00.0,00:00.0,F,N,NULL,,,3,0,00:00.0,00:00.0,00:00.0,18,12005,Classical High School,12,Providence,M,A,WH7,Y,N,N,
900023,REBECCA,,RUSSELL,,1219570612,Y,NULL,009823-00,JOHNSON & WALES UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,H,N,NULL,,,2,1,00:00.0,00:00.0,00:00.0,17,28010,Cranston High School East,28,Cranston,M,W,HI7,Y,N,N,
900024,BILLY,JEFFREY,SMITH,,1929229429,Y,NULL,003410-00,PROVIDENCE COLLEGE,RI,4-year,Private,00:00.0,00:00.0,G,Y,00:00.0,BS,NURSING,2,0.25,00:00.0,00:00.0,00:00.0,16,41020,La Salle Academy,41,Private,M,B,AS7,Y,N,N,
900025,BILLY,JEFFREY,SMITH,,1929229429,Y,NULL,009823-00,JOHNSON & WALES UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,A,N,NULL,,,3,0.5,00:00.0,00:00.0,00:00.0,16,41020,La Salle Academy,41,Private,M,B,AS7,Y,N,N,
900026,JONATHAN,,WAGNER,,1829363470,Y,NULL,003404-00,BROWN UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,Q,Y,00:00.0,BA,NURSING,2,0,00:00.0,00:00.0,00:00.0,15,41020,La Salle Academy,41,Private,F,E,AI7,N,Y,Y,
900027,SUSAN,,BROCK,,1452098128,Y,NULL,041713-00,"WEST HILLS COLLEGE, LEMOORE",CA,2-year,Public,00:00.0,00:00.0,H,N,NULL,,,2,1,00:00.0,00:00.0,00:00.0,15,58030,South Kingstown High School,58,South Kingstown,M,H,BL7,Y,N,N,
900028,CHRISTINA,,RIVERA,,1700862269,Y,NULL,002120-00,BRYANT UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,H,N,NULL,,,2,0.5,00:00.0,00:00.0,00:00.0,16,58030,South Kingstown High School,58,South Kingstown,M,W,AI7,Y,Y,N,
900029,CHRISTINA,,RIVERA,,1700862269,Y,NULL,002120-00,BRYANT UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,A,N,NULL,,,3,0.5,00:00.0,00:00.0,00:00.0,16,58030,South Kingstown High School,58,South Kingstown,M,W,AI7,Y,Y,N,
900030,CHRISTINA,,RIVERA,,1700862269,Y,NULL,003410-00,PROVIDENCE COLLEGE,RI,4-year,Private,00:00.0,00:00.0,H,N,NULL,,,4,0,00:00.0,00:00.0,00:00.0,16,58030,South Kingstown High School,58,South Kingstown,M,W,AI7,Y,Y,N,
900031,CATHERINE,JERRY,CARNEY,,1392678688,Y,NULL,003401-00,UNIVERSITY OF RHODE ISLAND,RI,4-year,Public,00:00.0,00:00.0,H,Y,00:00.0,BA,BUSINESS,2,0.25,00:00.0,00:00.0,00:00.0,18,33015,Coventry High School,33,Coventry,F,W,AI7,N,Y,Y,
900032,CATHERINE,JERRY,CARNEY,,1392678688,Y,NULL,003407-00,RHODE ISLAND COLLEGE,RI,4-year,Public,00:00.0,00:00.0,G,Y,00:00.0,BA,BIOLOGY,3,1,00:00.0,00:00.0,00:00.0,18,33015,Coventry High School,33,Coventry,F,W,AI7,N,Y,Y,
900033,DEREK,MIGUEL,LARSON,,1674415301,Y,NULL,003414-00,SALVE REGINA UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,G,N,NULL,,,2,0,00:00.0,00:00.0,00:00.0,18,12005,Classical High School,12,Providence,F,I,HI7,N,N,N,
900034,DEREK,MIGUEL,LARSON,,1674415301,Y,NULL,009823-00,JOHNSON & WALES UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,H,N,NULL,,,3,1,00:00.0,00:00.0,00:00.0,18,12005,Classical High School,12,Providence,F,I,HI7,N,N,N,
900035,DEREK,MIGUEL,LARSON,,1674415301,Y,NULL,009823-00,JOHNSON & WALES UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,A,N,NULL,,,4,0.5,00:00.0,00:00.0,00:00.0,18,12005,Classical High School,12,Providence,F,I,HI7,N,N,N,
900036,DONALD,PAUL,ROGERS,,1760775795,Y,NULL,003414-00,SALVE REGINA UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,A,Y,00:00.0,AS,NURSING,2,0,00:00.0,00:00.0,00:00.0,18,12005,Classical High School,12,Providence,M,A,MU7,N,Y,Y,
900037,YVETTE,,MARSHALL,,1182337920,Y,NULL,009823-00,JOHNSON & WALES UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,W,N,NULL,,,2,0,00:00.0,00:00.0,00:00.0,17,96107,Mt. Hope High School,96,Bristol Warren,M,I,AS7,N,Y,Y,
900038,YVETTE,,MARSHALL,,1182337920,Y,NULL,009823-00,JOHNSON & WALES UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,A,Y,00:00.0,BA,NURSING,3,0.25,00:00.0,00:00.0,00:00.0,17,96107,Mt. Hope High School,96,Bristol Warren,M,I,AS7,N,Y,Y,
900039,GABRIELLA,,TATE,,1141744530,Y,NULL,003508-00,COMMUNITY COLLEGE OF CONNECTICUT,RI,2-year,Public,00:00.0,00:00.0,W,N,NULL,,,2,0.25,00:00.0,00:00.0,00:00.0,16,28010,Cranston High School East,28,Cranston,F,E,BL7,N,N,N,
900040,MARTIN,JAMIE,PARKS,,1105216778,Y,NULL,009823-00,JOHNSON & WALES UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,W,Y,00:00.0,AS,NURSING,2,0.5,00:00.0,00:00.0,00:00.0,15,41020,La Salle Academy,41,Private,M,W,WH7,N,N,N,
900041,SHELLEY,,THOMPSON,,1966227730,Y,NULL,041713-00,"WEST HILLS COLLEGE, LEMOORE",CA,2-year,Public,00:00.0,00:00.0,A,N,NULL,,,2,1,00:00.0,00:00.0,00:00.0,18,96107,Mt. Hope High School,96,Bristol Warren,F,A,AS7,N,Y,N,
900042,EDWARD,JANE,BELL,,1087444286,Y,NULL,003410-00,PROVIDENCE COLLEGE,RI,4-year,Private,00:00.0,00:00.0,Q,N,NULL,,,2,0.5,00:00.0,00:00.0,00:00.0,15,41020,La Salle Academy,41,Private,M,E,MU7,N,Y,N,
900043,JAMES,JUSTIN,NEAL,,1646075258,Y,NULL,003410-00,PROVIDENCE COLLEGE,RI,4-year,Private,00:00.0,00:00.0,A,N,NULL,,,2,1,00:00.0,00:00.0,00:00.0,15,33015,Coventry High School,33,Coventry,F,I,HI7,N,N,N,
900044,JOSEPH,ALEXANDRA,GRAHAM,,1445500576,Y,NULL,003410-00,PROVIDENCE COLLEGE,RI,4-year,Private,00:00.0,00:00.0,Q,N,NULL,,,2,0.25,00:00.0,00:00.0,00:00.0,16,96107,Mt. Hope High School,96,Bristol Warren,M,B,WH7,Y,N,Y,
900045,JAMES,,JONES,,1324808407,Y,NULL,003508-00,COMMUNITY COLLEGE OF CONNECTICUT,RI,2-year,Public,00:00.0,00:00.0,G,N,NULL,,,2,1,00:00.0,00:00.0,00:00.0,17,28010,Cranston High School East,28,Cranston,F,E,AI7,N,Y,Y,
900046,JOSHUA,,CUNNINGHAM,,1785239188,Y,NULL,001276-00,WEST HILLS COMMUNITY COLLEGE,CA,2-year,Public,00:00.0,00:00.0,Q,Y,00:00.0,BA,BIOLOGY,2,1,00:00.0,00:00.0,00:00.0,17,96107,Mt. Hope High School,96,Bristol Warren,M,B,HI7,Y,N,Y,
900047,JOHN,,GARCIA,,1234812705,Y,NULL,002120-00,BRYANT UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,G,N,NULL,,,2,0,00:00.0,00:00.0,00:00.0,16,12005,Classical High School,12,Providence,M,E,BL7,N,Y,Y,
900048,PATRICIA,KRISTEN,THOMPSON,,1912865402,Y,NULL,003508-00,COMMUNITY COLLEGE OF CONNECTICUT,RI,2-year,Public,00:00.0,00:00.0,A,N,NULL,,,2,0.25,00:00.0,00:00.0,00:00.0,16,33015,Coventry High School,33,Coventry,F,A,HI7,Y,Y,N,
900049,JEFFREY,,GOMEZ,,1754352383,Y,NULL,009823-00,JOHNSON & WALES UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,W,Y,00:00.0,BA,NURSING,2,0.25,00:00.0,00:00.0,00:00.0,18,12005,Classical High School,12,Providence,F,H,MU7,Y,N,N,
900050,JEFFREY,,GOMEZ,,1754352383,Y,NULL,003404-00,BROWN UNIVERSITY,RI,4-year,Private,00:00.0,00:00.0,A,Y,00:00.0,BS,BIOLOGY,3,0.5,00:00.0,00:00.0,00:00.0,18,12005,Classical High School,12,Providence,F,H,MU7,Y,N,N,
