member_id,first_name,middle_name,last_name,birth_date,ssn,gender,address1,address2,city,state,zip,member_external_id
RI0000001,JERRY,,SMITH,,,FEMALE,,,,RI,,1133598098
RI0000002,KEVIN,,SHAW,,,MALE,,,,RI,,1367087802
RI0000003,PAMELA,,NGUYEN,,,FEMALE,,,,RI,,1138813817
RI0000004,NICOLE,,KING,,,FEMALE,,,,RI,,1524759988
RI0000005,CHRISTOPHER,JENNIFER,PEREZ,,,FEMALE,,,,RI,,1812786430
RI0000006,JOSEPH,DANIEL,MARTIN,,,FEMALE,,,,RI,,1246279521
RI0000007,JOSEPH,JULIE,MILLER,,,MALE,,,,RI,,1759930628
RI0000008,TAMMY,,ANTHONY,,,MALE,,,,RI,,1268821338
RI0000009,ASHLEY,WALTER,CRUZ,,,FEMALE,,,,RI,,1122314588
RI0000010,CRYSTAL,MICHAEL,REED,,,FEMALE,,,,RI,,1131710299
RI0000011,JOHNNY,ALEXANDER,SHEPHERD,,,MALE,,,,RI,,1545371356
RI0000012,JEFFREY,,HOPKINS,,,MALE,,,,RI,,1990644955
RI0000013,YVETTE,,MARSHALL,,,MALE,,,,RI,,1182337920
RI0000014,KATHY,,WILSON,,,MALE,,,,RI,,1845153019
RI0000015,PEGGY,,BUSH,,,MALE,,,,RI,,1507064324
RI0000016,FRANCIS,,SMITH,,,MALE,,,,RI,,1173395868
RI0000017,TINA,JAMIE,SMITH,,,FEMALE,,,,RI,,1602391367
RI0000018,CARLOS,,HERRERA,,,MALE,,,,RI,,1063475204
RI0000019,KEITH,,GARCIA,,,MALE,,,,RI,,1652307350
RI0000020,VICTORIA,LORI,CAMPOS,,,FEMALE,,,,RI,,1767752740
RI0000021,MICHAEL,,WRIGHT,,,FEMALE,,,,RI,,1335630430
RI0000022,NICOLE,,SMITH,,,FEMALE,,,,RI,,1611345407
RI0000023,THOMAS,STEPHANIE,ONEAL,,,MALE,,,,RI,,1848199222
RI0000024,ANGELA,RACHEL,JOHNS,,,FEMALE,,,,RI,,1715220785
RI0000025,BRIAN,,ROBINSON,,,FEMALE,,,,RI,,1337606759
RI0000026,MELISSA,JOHN,KLEIN,,,FEMALE,,,,RI,,1535006479
RI0000027,VICKI,ROBERT,GONZALEZ,,,MALE,,,,RI,,1157810409
RI0000028,TRACY,BRETT,CARLSON,,,MALE,,,,RI,,1335240883
RI0000029,DANIEL,,JACOBS,,,MALE,,,,RI,,1499410837
RI0000030,DIAMOND,,STEWART,,,FEMALE,,,,RI,,1074096624
RI0000031,KARA,,CHAN,,,FEMALE,,,,RI,,1884141305
RI0000032,ZACHARY,MATTHEW,DAVIDSON,,,FEMALE,,,,RI,,1637222671
RI0000033,RONALD,GEORGE,RAMSEY,,,MALE,,,,RI,,1787109566
